"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601100000221","Nodes","221","21.000000","34.654978","DDS demands","Known Flow","398761.972663","865686.330771","","0.000000","","","","","","","-2.970000","","","","","","-2.655827","-2.970000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000348","Nodes","348","21.000000","34.751529","DDS demands","Known Flow","398774.374666","865619.137752","","0.000000","","","","","","","-5.209999","","","","","","-4.658875","-5.209999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000188","Nodes","188","21.000000","39.929566","DDS demands","Known Flow","398910.835703","865982.804851","","0.000000","","","","","","","-18.839999","","","","","","-16.847065","-18.839999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000189","Nodes","189","21.000000","39.762281","DDS demands","Known Flow","398942.641712","865907.045831","","0.000000","","","","","","","-7.699999","","","","","","-6.885477","-7.699999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000416","Nodes","416","21.000000","33.243061","DDS demands","Known Flow","398608.624621","865720.012780","","0.000000","","","","","","","-5.709999","","","","","","-5.105984","-5.709999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000423","Nodes","423","21.000000","31.123605","DDS demands","Known Flow","398557.749607","865676.637768","","0.000000","","","","","","","-6.390000","","","","","","-5.714052","-6.390000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000424","Nodes","424","21.000000","29.751279","DDS demands","Known Flow","398610.749621","865626.762754","","0.000000","","","","","","","-15.880000","","","","","","-14.200180","-15.880000","","","","","","","","","D1 PROFILE","","","","",""
"60601100004040","Nodes","4040","21.000000","35.470959","Default Known Flow Node","Known Flow","398667.499637","865702.887775","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000425","Nodes","425","21.000000","29.673967","DDS demands","Known Flow","398681.749641","865546.762733","","0.000000","","","","","","","-5.749999","","","","","","-5.141752","-5.749999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000426","Nodes","426","21.000000","29.103323","DDS demands","Known Flow","398567.624610","865513.887724","","0.000000","","","","","","","-15.569999","","","","","","-13.922972","-15.569999","","","","","","","","","D1 PROFILE","","","","",""
"60601100000270","Nodes","270","21.000000","34.319386","DDS demands","Known Flow","398764.999663","865546.387733","","0.000000","","","","","","","-11.570000","","","","","","-10.346101","-11.570000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000271","Nodes","271","21.000000","34.216994","DDS demands","Known Flow","398838.374683","865516.762724","","0.000000","","","","","","","-5.400000","","","","","","-4.828776","-5.400000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000532","Nodes","532","21.000000","34.361128","DDS demands","Known Flow","398756.374661","865509.387722","","0.000000","","","","","","","-1.700000","","","","","","-1.520170","-1.700000","","","","","","","","","D1 PROFILE","","","","",""
"60601100000415","Nodes","415","21.000000","34.657374","Default Known Flow Node","Known Flow","398757.374661","865626.137754","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000349","Nodes","349","21.000000","34.657353","DDS demands","Known Flow","398745.749658","865630.762756","","0.000000","","","","","","","-0.990000","","","","","","-0.885275","-0.990000","","","","","","","","","D1 PROFILE","","","","",""
"60601100004400","Nodes","4400","21.000000","34.655385","Default Known Flow Node","Known Flow","398756.249661","865623.512754","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60601100000421","Nodes","421","21.000000","34.457387","DDS demands","Known Flow","398782.624668","865605.137749","","0.000000","","","","","","","-3.599999","","","","","","-3.219184","-3.599999","","","","","","","","","D1 PROFILE","","","","",""
