"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"64304101462493","Nodes","-1462493",21.000000,32.501753,"DDS demands","Known Flow",358101.615000,638624.825000,,0.000000,,,,,-1.720000,,,,-1.538054,-1.720000,,"",,,,,"D1 PROFILE",,,
"64304100000022","Nodes","-22",21.000000,24.613268,"DDS demands","Known Flow",357278.740000,638336.325000,,0.000000,,,,-4.449999,-6.520000,,,,-9.809569,-10.970000,,"",,,,"C4 PROFILE","D1 PROFILE",,,
"64304100000160","Nodes","160",21.000000,23.748019,"DDS demands","Known Flow",357251.865000,638233.200000,,0.000000,-6.110000,,,,-6.329999,,,,-11.124070,-12.440000,,"","C1 PROFILE",,,,"D1 PROFILE",,,
"64304100000180","Nodes","180, P08119029, NEW HOUSING DEVELOPMENT EAST END, 35.72",24.000000,30.051617,"CSEP DDS Matched","Known Flow",358207.060825,638758.867914,,0.000000,,,,,,-35.720001,,,-31.941465,-35.720001,,"",,,,,,"DC PROFILE",,
"64304100000181","Nodes","181",21.000000,23.495975,"DDS demands","Known Flow",356987.240000,638743.575000,,0.000000,,,,,-1.230000,,,,-1.099888,-1.230000,,"",,,,,"D1 PROFILE",,,
"64304100000182","Nodes","182",21.000000,23.439814,"DDS demands","Known Flow",356952.740000,638766.700000,,0.000000,,,,,-1.990000,,,,-1.779493,-1.990000,,"",,,,,"D1 PROFILE",,,
"64304100000161","Nodes","161",21.000000,26.297113,"DDS demands","Known Flow",357289.740000,638644.450000,,0.000000,,,,,-6.520000,,,,-5.830300,-6.520000,,"",,,,,"D1 PROFILE",,,
"64304100000185","Nodes","185",21.000000,26.197001,"DDS demands","Known Flow",357307.365000,638646.325000,,0.000000,,,,,-4.750000,,,,-4.247535,-4.750000,,"",,,,,"D1 PROFILE",,,
"64304100000177","Nodes","MAXIMO 423120-DIVERSIFIED LOAD ADDED",21.000000,23.874777,"Point Loads","Known Flow",357175.115000,638606.700000,,0.000000,,,,,-17.239999,,,-4.500000,-19.440297,-21.740000,,"",,,,,"D1 PROFILE",,,"PL-AF PROFILE"
"64304100000179","Nodes","179",21.000000,23.684803,"DDS demands","Known Flow",357052.615000,638684.200000,,0.000000,,,,,-2.809999,,,,-2.512752,-2.809999,,"",,,,,"D1 PROFILE",,,
