"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"64402900000211","Nodes","211",21.000000,24.388518,"DDS demands","Known Flow",280998.592618,680994.837514,,0.000000,,,,-2.720000,,,,,-2.432272,-2.720000,,"",,,,"D1 PROFILE",,,,
"64402900000202","Nodes","202",21.000000,24.304910,"DDS demands","Known Flow",281007.967620,680954.462503,,0.000000,,,,-8.270000,,,,,-7.395182,-8.270000,,"",,,,"D1 PROFILE",,,,
"64402900000152","Nodes","152",21.000000,24.583358,"Default Known Flow Node","Known Flow",281020.717624,680835.212471,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000172","Nodes","172",21.000000,24.196520,"DDS demands","Known Flow",281001.467619,680737.587444,,0.000000,,,,-4.400000,,,,,-3.934558,-4.400000,,"",,,,"D1 PROFILE",,,,
"64402900003005","Nodes","-263222",21.000000,23.538078,"DDS demands","Known Flow",281034.588996,680563.233873,,0.000000,,,,-2.359999,,,,,-2.110354,-2.359999,,"",,,,"D1 PROFILE",,,,
"64402900000527","Nodes","527",21.000000,23.987409,"Default Known Flow Node","Known Flow",281110.342648,680599.337407,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000526","Nodes","526",21.000000,24.031550,"DDS demands","Known Flow",281139.717656,680750.837448,,0.000000,,,,-19.709998,,,,,-17.625034,-19.709998,,"",,,,"D1 PROFILE",,,,
"64402900000201","Nodes","201",21.000000,24.362247,"DDS demands","Known Flow",281014.717622,680933.837498,,0.000000,,,,-1.150000,,,,,-1.028350,-1.150000,,"",,,,"D1 PROFILE",,,,
"64402900000213","Nodes","213",21.000000,24.359301,"DDS demands","Known Flow",281003.092619,680929.587497,,0.000000,,,,-1.840000,,,,,-1.645360,-1.840000,,"",,,,"D1 PROFILE",,,,
"64402900000200","Nodes","200",21.000000,24.252492,"DDS demands","Known Flow",281028.467626,680894.837487,,0.000000,,,,-7.230000,,,,,-6.465195,-7.230000,,"",,,,"D1 PROFILE",,,,
"64402900000228","Nodes","228",21.000000,24.334304,"DDS demands","Known Flow",281006.717620,680887.962485,,0.000000,,,,-2.580000,,,,,-2.307082,-2.580000,,"",,,,"D1 PROFILE",,,,
"64402900000199","Nodes","199",21.000000,24.382121,"DDS demands","Known Flow",281045.342631,680839.462472,,0.000000,,,,-3.420000,,,,,-3.058225,-3.420000,,"",,,,"D1 PROFILE",,,,
"64402900000155","Nodes","155",21.000000,24.328719,"DDS demands","Known Flow",281136.841762,680847.103951,,0.000000,,,,-1.360000,,,,,-1.216136,-1.360000,,"",,,,"D1 PROFILE",,,,
"64402900003130","Nodes","-594642",21.000000,24.328719,"Default Known Flow Node","Known Flow",281138.842656,680847.212474,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003020","Nodes","-263273",21.000000,24.324106,"Default Known Flow Node","Known Flow",281136.717655,680844.462474,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000153","Nodes","153",21.000000,24.330533,"DDS demands","Known Flow",281101.967646,680845.212474,,0.000000,,,,-7.900000,,,,,-7.064321,-7.900000,,"",,,,"D1 PROFILE",,,,
"64402900000154","Nodes","154",21.000000,24.258560,"DDS demands","Known Flow",281088.217642,680941.462500,,0.000000,,,,-12.610000,,,,,-11.276088,-12.610000,,"",,,,"D1 PROFILE",,,,
"64402900003050","Nodes","-2933547",21.000000,24.368114,"Default Known Flow Node","Known Flow",281034.373736,680765.401373,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900003019","Nodes","-263272",21.000000,24.274892,"Default Known Flow Node","Known Flow",281157.342661,680844.087473,,0.000000,,,,,,,,,0.000000,0.000000,,"",,,,,,,,
"64402900000157","Nodes","157",21.000000,24.136246,"DDS demands","Known Flow",281028.762161,680739.101454,,0.000000,,,,-15.330000,,,,,-13.708360,-15.330000,,"",,,,"D1 PROFILE",,,,
