"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"64304500002501","Nodes","2501","21.000000","41.821796","DDS demands","Known Flow","305020.849155","666711.708628","","0.000000","-157.999998","","","","","","","","","","","","","","-141.286432","-157.999998","","","C1 PROFILE","","","","","","","","","","","","",""
"64304500002795","Nodes","Brucefield Ind Estate DG, Constant, Site ID 5851","21.000000","24.999999","Default Known Pressure Node","Known Pressure","304404.848987","664933.708144","","999998.967025","","","","","","","","","","","","","","","391.846310","438.200015","","","","","","","","","","","","","","","",""
"64304500159761","Nodes","-159761","21.000000","24.991517","Default Known Flow Node","Known Flow","304404.851358","664935.709738","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500225454","Nodes","-225454","21.000000","36.497380","Default Known Flow Node","Known Flow","305296.579212","665889.218335","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500002458","Nodes","2458","21.000000","67.982775","DDS demands","Known Flow","305458.352338","663837.935954","","0.000000","","","","","","","-14.250000","","","","","","","","-12.742605","-14.250000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500003117","Nodes","3117","21.000000","65.077468","DDS demands","Known Flow","305377.827023","663885.308509","","0.000000","","","","","","","-1.330000","","","","","","","","-1.189309","-1.330000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500223348","Nodes","-223348","21.000000","62.415761","Default Known Flow Node","Known Flow","305272.992718","663873.503387","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500002459","Nodes","2459","21.000000","62.348252","DDS demands","Known Flow","305270.225222","663871.857855","","0.000000","","","","","","","-22.620000","","","","","","","","-20.227208","-22.620000","","","","","","","","","D1 PROFILE","","","","","","",""
"64304500223351","Nodes","-223351","21.000000","62.458061","Default Known Flow Node","Known Flow","305283.131226","663856.417851","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"64304500223353","Nodes","-223353","21.000000","62.968888","Default Known Flow Node","Known Flow","305295.699229","663886.949859","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
