"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-PL)"
"62505100003008","Nodes","3008","21.000000","30.979997","Default Known Flow Node","Known Flow","234162.825000","677918.710000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003042","Nodes","3042","21.000000","30.670659","Default Known Flow Node","Known Flow","234190.825000","677906.585000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003019","Nodes","3019","21.000000","31.720536","Default Known Flow Node","Known Flow","234205.575000","677690.585000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000165","Nodes","165","21.000000","33.350933","DDS demands","Known Flow","234239.450000","677770.835000","","0.000000","","","","","-5.440000","","","","-4.864545","-5.440000","","","","","","","D1 PROFILE","","",""
"62505100000002","Nodes","REAY AVENUE DG, Site ID 3630, Tel, Fogger, Profiled","21.000000","33.999999","Default Known Pressure Node","Known Pressure","234236.325000","677765.085000","","999998.967025","","","","","","","","","990.811306","1108.019987","","","","","","","","","",""
"62505100003068","Nodes","3068","21.000000","26.482190","Default Known Flow Node","Known Flow","234439.260483","677525.545878","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003075","Nodes","3075","21.000000","29.863438","Default Known Flow Node","Known Flow","234370.075000","677680.085000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000052","Nodes","52","21.000000","30.080534","DDS demands","Known Flow","234360.912882","677688.273678","","0.000000","","","","","-18.490000","","","","-16.534088","-18.490000","","","","","","","D1 PROFILE","","",""
"62505100003074","Nodes","3074","21.000000","29.777048","Default Known Flow Node","Known Flow","234361.950000","677667.335000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003025","Nodes","3025","21.000000","29.084152","DDS demands","Known Flow","234418.825000","677607.210000","","0.000000","","","","","-0.519999","","","","-0.464993","-0.519999","","","","","","","D1 PROFILE","","",""
"62505100003067","Nodes","3067","21.000000","26.054782","Default Known Flow Node","Known Flow","234476.222872","677499.130310","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003080","Nodes","3080","21.000000","27.993404","Default Known Flow Node","Known Flow","234471.950000","677742.460000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003079","Nodes","3079","21.000000","27.950050","Default Known Flow Node","Known Flow","234487.950000","677724.335000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003069","Nodes","3069","21.000000","26.474520","Default Known Flow Node","Known Flow","234490.950000","677536.710000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003016","Nodes","3016","21.000000","24.706972","DDS demands","Known Flow","234498.950000","677534.085000","","0.000000","-13.199999","","","","","","","","-11.803675","-13.199999","","","C1 PROFILE","","","","","","",""
