"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"625043-65278","Nodes","-65278",21.000000,28.679873,"Default Known Flow Node","Known Flow",220611.000000,647491.625000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000177","Nodes","177",21.000000,28.287406,"DDS demands","Known Flow",220628.000000,647494.375000,,0.000000,,,,,-6.679999,,,,,-5.973375,-6.679999,,"",,,,,"D1 PROFILE",,,,
"62504300000210","Nodes","210",21.000000,29.383154,"Default Known Flow Node","Known Flow",220504.125000,647479.500000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000211","Nodes","211",21.000000,29.207662,"DDS demands","Known Flow",220524.125000,647473.375000,,0.000000,,,,,-0.850000,,,,,-0.760085,-0.850000,,"",,,,,"D1 PROFILE",,,,
"625043-66994","Nodes","-66994",21.000000,33.638330,"Default Known Flow Node","Known Flow",219999.500000,647991.375000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"625043-66995","Nodes","-66995",21.000000,33.638330,"Default Known Flow Node","Known Flow",220000.875000,647990.125000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000256","Nodes","256",21.000000,29.639841,"DDS demands","Known Flow",220454.375000,647534.625000,,0.000000,,,,,-9.829999,,,,,-8.790161,-9.829999,,"",,,,,"D1 PROFILE",,,,
"62504300000291","Nodes","291",21.000000,34.748237,"Default Known Flow Node","Known Flow",220094.500000,647908.375000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000292","Nodes","292",21.000000,34.647449,"Default Known Flow Node","Known Flow",220123.125000,647934.250000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000253","Nodes","253",21.000000,31.264516,"DDS demands","Known Flow",220391.000000,647862.625000,,0.000000,,,,,-4.670000,,,,,-4.175997,-4.670000,,"",,,,,"D1 PROFILE",,,,
"625043-67009","Nodes","-67009",21.000000,31.472246,"Default Known Flow Node","Known Flow",220388.125000,647809.625000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"62504300000306","Nodes","306",21.000000,43.466744,"DDS demands","Known Flow",220456.250000,647896.125000,,0.000000,,,,,-10.410000,,,,,-9.308808,-10.410000,,"",,,,,"D1 PROFILE",,,,
"62504300000307","Nodes","307",21.000000,42.883330,"DDS demands","Known Flow",220462.500000,647845.625000,,0.000000,,,,,-12.839999,,,,,-11.481757,-12.839999,,"",,,,,"D1 PROFILE",,,,
"62504300000047","Nodes","47",21.000000,31.067911,"DDS demands","Known Flow",220362.125000,647568.750000,,0.000000,,,,,-15.619999,,,,,-13.967683,-15.619999,,"",,,,,"D1 PROFILE",,,,
