"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000845","Nodes","845","21.000000","35.515375","Default Known Flow Node","Known Flow","451725.407380","253131.982391","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000062","Nodes","62","21.000000","30.750992","DDS demands","Known Flow","451577.192034","253145.612093","","0.000000","","","","-8.380000","","","","-7.493546","-8.380000","","","","","","D1 PROFILE","","",""
"80014200000183","Nodes","183","21.000000","32.243599","DDS demands","Known Flow","451574.902376","253235.081898","","0.000000","","","","-16.280000","","","","-14.557867","-16.280000","","","","","","D1 PROFILE","","",""
"80014200000096","Nodes","96","21.000000","29.186649","DDS demands","Known Flow","451550.153027","253109.432083","","0.000000","","","","-22.769999","","","","-20.361342","-22.769999","","","","","","D1 PROFILE","","",""
"80014200000097","Nodes","97","21.000000","26.618251","DDS demands","Known Flow","451611.963044","252960.234043","","0.000000","","","","-8.130000","","","","-7.269991","-8.130000","","","","","","D1 PROFILE","","",""
"80014200000066","Nodes","66","21.000000","22.576540","DDS demands","Known Flow","451025.578884","253315.666139","","0.000000","","","","-6.269999","","","","-5.606746","-6.269999","","","","","","D1 PROFILE","","",""
"80014200000185","Nodes","185","21.000000","22.079977","DDS demands","Known Flow","451101.096994","253164.704892","","0.000000","","","","-10.509999","","","","-9.398229","-10.509999","","","","","","D1 PROFILE","","",""
"80014200000843","Nodes","843","21.000000","22.541538","Default Known Flow Node","Known Flow","451159.707289","253350.953020","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000016","Nodes","16","21.000000","41.226262","DDS demands","Known Flow","453653.433599","252377.287884","","0.000000","","","","-18.400000","","","","-16.453609","-18.400000","","","","","","D1 PROFILE","","",""
"80014200000273","Nodes","273","21.000000","43.002068","Default Known Flow Node","Known Flow","453575.883641","252488.652832","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
