"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)"
"80006900000318","Nodes","318","21.000000","29.502969","Default Known Flow Node","Known Flow","460005.377544","181291.958662","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000515","Nodes","515","21.000000","28.680933","DDS demands","Known Flow","460706.289127","181344.999258","","0.000000","","","","","-0.639999","","","","","","-0.572299","-0.639999","","","","","","","D1 PROFILE","","","","",""
"80006900000516","Nodes","P11126716, R/O 15-19  SUMMERFIELD RISE, 9.42","22.999998","26.540037","CSEP DDS Matched","Known Flow","460798.649693","181312.885983","","0.000000","","","","","","-4.130000","","","","","-3.693120","-4.130000","","","","","","","","DC PROFILE","","","",""
"80006900285251","Nodes","285251","21.000000","28.820791","Default Known Flow Node","Known Flow","460716.861126","181416.321879","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000290","Nodes","290","21.000000","28.405413","DDS demands","Known Flow","460558.174478","181263.368533","","0.000000","","","","","-3.130000","","","","","","-2.798902","-3.130000","","","","","","","D1 PROFILE","","","","",""
"80006900000474","Nodes","474","21.000000","22.741951","DDS demands","Known Flow","460536.937472","181607.780627","","0.000000","","","","","-15.149999","","","","","","-13.547400","-15.149999","","","","","","","D1 PROFILE","","","","",""
"80006900000510","Nodes","510","21.000000","18.330064","DDS demands","Known Flow","460701.592864","181592.718714","","0.000000","","","","","-11.190000","","","","","","-10.006298","-11.190000","","","","","","","D1 PROFILE","","","","",""
"80006900285263","Nodes","285263","21.000000","28.913789","Default Known Flow Node","Known Flow","461988.080119","181393.775601","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"80006900000307","Nodes","307","21.000000","29.057633","DDS demands","Known Flow","462192.291416","181362.627119","","0.000000","","","","","-0.950000","","","","","","-0.849507","-0.950000","","","","","","","D1 PROFILE","","","","",""
"80006900000274","Nodes","274","21.000000","27.258380","DDS demands","Known Flow","460538.255463","181113.015320","","0.000000","","","","","-1.290000","","","","","","-1.153541","-1.290000","","","","","","","D1 PROFILE","","","","",""
