"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201600000392","Nodes","392,","21.000000","33.045630","DDS demands","Known Flow","313328.760415","680956.233504","","0.000000","","","","","-8.319999","","","","","","-7.439892","-8.319999","","","","","","","D1 PROFILE","","","","",""
"60201600002314","Nodes","2314,","21.000000","29.188295","Default Known Flow Node","Known Flow","313143.693365","680519.988385","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000178","Nodes","178,","21.000000","30.199289","DDS demands","Known Flow","313011.180329","680793.106460","","0.000000","","-22.559999","","","-12.170000","","","","","","-31.056188","-34.729999","","","","C2 PROFILE","","","D1 PROFILE","","","","",""
"60201600002465","Nodes","2465,","21.000000","30.507868","Default Known Flow Node","Known Flow","313021.956363","680730.495650","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000636","Nodes","636,","21.000000","30.330518","DDS demands","Known Flow","313021.285332","680696.896433","","0.000000","","","","","-4.559999","","","","","","-4.077633","-4.559999","","","","","","","D1 PROFILE","","","","",""
"60201600002411","Nodes","2411,","21.000000","30.346252","Default Known Flow Node","Known Flow","313028.368029","680730.487551","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002564","Nodes","2564,","21.000000","30.990295","Default Known Flow Node","Known Flow","313063.041986","680868.120934","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000637","Nodes","637,","21.000000","30.806461","DDS demands","Known Flow","313088.912350","680749.544448","","0.000000","","","","","-6.890000","","","","","","-6.161161","-6.890000","","","","","","","D1 PROFILE","","","","",""
"60201600002481","Nodes","2481,","21.000000","30.844580","Default Known Flow Node","Known Flow","313088.927187","680761.230873","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002222","Nodes","2222,","21.000000","33.250448","Default Known Flow Node","Known Flow","313344.687420","680929.500497","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002463","Nodes","2463,","21.000000","36.056210","Default Known Flow Node","Known Flow","313183.879376","681307.645600","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000462","Nodes","Logger 9062, Catheter, Ferryhills Road","21.000000","35.383182","DDS demands","Known Flow","313322.920414","681377.297618","","0.000000","","","","","-2.049999","","","","","","-1.833146","-2.049999","","","","","","","D1 PROFILE","","","","",""
"60201600002182","Nodes","2182,","21.000000","36.258641","Default Known Flow Node","Known Flow","313222.635014","681234.281229","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600000144","Nodes","144,","21.000000","36.258641","Default Known Flow Node","Known Flow","313224.299387","681234.863580","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002181","Nodes","2181,","21.000000","36.461433","Default Known Flow Node","Known Flow","313222.521386","681209.543573","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002215","Nodes","2215,","21.000000","36.172434","Default Known Flow Node","Known Flow","313225.217387","681231.387579","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002187","Nodes","2187,","21.000000","30.151406","Default Known Flow Node","Known Flow","312615.360715","681977.452804","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002186","Nodes","2186,","21.000000","30.156707","Default Known Flow Node","Known Flow","312618.544831","681975.722924","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002261","Nodes","2261,","21.000000","30.613575","Default Known Flow Node","Known Flow","312639.496228","681880.186755","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60201600002313","Nodes","2313,","21.000000","30.511032","Default Known Flow Node","Known Flow","312463.144180","682367.105888","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
